1: (HighCard, ['2', '3', 'T', '4', 'Q'])
2: (HighCard, ['2', '4', '3', '6', '8'])
3: (HighCard, ['2', '4', '8', 'Q', '5'])
4: (HighCard, ['2', '6', '8', 'Q', '4'])
5: (HighCard, ['2', '8', 'T', 'A', 'Q'])
6: (HighCard, ['2', '9', '7', 'A', '8'])
7: (HighCard, ['2', '9', 'T', 'Q', 'K'])
8: (HighCard, ['2', '9', 'K', '6', '7'])
9: (HighCard, ['2', 'T', '7', 'K', 'Q'])
10: (HighCard, ['2', 'A', '4', '9', 'T'])
11: (HighCard, ['3', '2', '4', '9', '5'])
12: (HighCard, ['3', '4', 'T', '7', '2'])
13: (HighCard, ['3', '5', '6', 'A', '8'])
14: (HighCard, ['3', '6', '2', 'A', '4'])
15: (HighCard, ['3', '7', '5', '2', 'Q'])
16: (HighCard, ['3', '7', '5', '8', '2'])
17: (HighCard, ['3', 'Q', '2', 'A', '6'])
18: (HighCard, ['3', 'Q', '9', '2', '5'])
19: (HighCard, ['3', 'K', '2', '5', 'A'])
20: (HighCard, ['3', 'K', 'Q', '4', 'T'])
21: (HighCard, ['3', 'K', 'Q', '8', '7'])
22: (HighCard, ['3', 'A', '7', 'T', '9'])
23: (HighCard, ['3', 'A', '9', 'K', '2'])
24: (HighCard, ['4', '2', 'T', 'K', '6'])
25: (HighCard, ['4', '3', '6', 'K', '9'])
26: (HighCard, ['4', '5', 'Q', 'T', '8'])
27: (HighCard, ['4', '8', '6', '7', '5'])
28: (HighCard, ['4', '8', 'T', '5', '9'])
29: (HighCard, ['4', 'T', '6', '8', 'Q'])
30: (HighCard, ['4', 'Q', '2', '3', 'K'])
31: (HighCard, ['4', 'Q', '2', '8', 'A'])
32: (HighCard, ['4', 'K', '7', '6', '9'])
33: (HighCard, ['5', '3', '9', '7', '4'])
34: (HighCard, ['5', '7', '6', '4', 'T'])
35: (HighCard, ['5', 'T', '2', '6', '7'])
36: (HighCard, ['5', 'T', 'Q', '7', '9'])
37: (HighCard, ['5', 'K', '9', '8', '2'])
38: (HighCard, ['5', 'A', '6', '9', 'K'])
39: (HighCard, ['6', '3', '2', 'T', 'K'])
40: (HighCard, ['6', '3', 'A', '7', 'Q'])
41: (HighCard, ['6', '5', '3', '8', '4'])
42: (HighCard, ['6', '5', 'Q', '7', '8'])
43: (HighCard, ['6', '7', '4', 'A', 'Q'])
44: (HighCard, ['6', '7', 'K', '5', 'T'])
45: (HighCard, ['6', '8', '5', 'Q', '3'])
46: (HighCard, ['6', '9', '7', '4', '3'])
47: (HighCard, ['6', '9', 'Q', '4', 'A'])
48: (HighCard, ['6', 'A', '4', '9', 'T'])
49: (HighCard, ['6', 'A', '9', 'K', '2'])
50: (HighCard, ['6', 'A', 'T', '9', '5'])
51: (HighCard, ['7', '4', '5', 'Q', 'A'])
52: (HighCard, ['7', '4', '6', '3', 'Q'])
53: (HighCard, ['7', '4', '9', 'T', 'K'])
54: (HighCard, ['7', '5', '2', 'A', '4'])
